Código,Nome,Volume,Última (R$),Variação
RPMG3,Refinaria de Manguinhos,43.800,1,96,-2,00%
DMVF3,D1000 Varejo Farma,36.800,4,30,-0,46%
SLED4,Saraiva,34.600,0,99,-1,98%
AVLL3,Alphaville,32.000,3,98,+1,79%
AGXY3,AgroGalaxy,29.300,6,11,+1,66%
HAGA3,Haga,28.800,2,26,-4,64%
HAGA4,Haga,28.100,1,01,-3,81%
COCE5,Coelce,26.200,51,60,-0,46%
BOBR4,Bombril,25.500,1,54,-0,65%
BEES3,Banestes,24.800,7,70,+3,36%
BPAC5,Banco BTG Pactual,24.000,6,59,-4,22%
ELMD3,Eletromidia,23.200,14,80,-1,66%
DESK3,Desktop,23.200,9,47,-0,53%
PDTC3,Padtec,22.200,2,35,-0,84%
OIBR4,Oi,19.100,2,40,+0,42%
TASA3,Taurus,17.400,15,06,-1,31%
CEDO4,Cedro Têxtil,15.400,7,63,+1,87%
EALT4,Electro Aço Altona,14.800,8,16,-3,09%
ALUP3,Alupar,14.700,9,74,-0,41%
BPAC3,Banco BTG Pactual,14.300,13,20,-3,23%
TELB4,Telebras,14.000,14,80,-1,33%
ALUP4,Alupar,13.000,9,73,-0,21%
PMAM3,Paranapanema,13.000,4,45,+0,45%
ENGI4,Energisa,12.800,7,80,-0,51%
EUCA4,Eucatex,12.500,10,32,-1,43%
TEKA4,Teka,11.500,12,06,-9,26%
CTNM3,Coteminas,11.400,10,66,+10,24%
BRSR3,Banrisul,10.700,13,15,+0,46%
EUCA3,Eucatex,10.400,13,40,-8,22%
HOOT4,Hotéis Othon,10.400,1,95,+0,52%
CRPG5,Tronox Pigmentos,10.100,37,55,-2,69%
UNIP3,Unipar,10.000,66,71,-1,04%
ALPA3,Alpargatas,9.300,10,69,-1,84%
ATOM3,ATOM,9.300,2,47,-0,80%
APER3,Alper,9.200,29,25,-1,58%
BAHI3,Bahema,8.900,8,50,-6,49%
BIOM3,Biomm,7.800,6,50,+0,15%
SNSY3,Sansuy,7.800,4,81,+8,09%
WHRL4,Whirlpool,7.700,4,53,-0,22%
DOHL4,Döhler,7.400,5,63,-1,23%
OFSA3,Ourofino Saúde Animal,7.000,23,10,-2,98%
BMEB4,Banco Mercantil do Brasil,7.000,10,05,-1,47%
BRKM3,Braskem,6.400,22,87,-1,63%
CEBR6,CEB,6.100,12,70,-0,78%
CGRA4,Grazziotin,6.000,28,40,-1,42%
RAPT3,Randon,5.700,9,20,+0,33%
REDE3,Rede Energia,5.500,5,85,-0,34%
CTSA3,Santanense,5.500,3,64,-7,38%
JFEN3,João Fortes,5.500,2,29,-0,87%
OSXB3,OSX Brasil,5.200,4,18,+0,72%
RSUL4,Metalúrgica Riosulense,4.700,65,12,-6,96%
ENGI3,Energisa,4.300,13,00,-0,61%
BEES4,Banestes,3.500,8,95,+1,02%
SCAR3,São Carlos,3.400,20,84,+4,20%
WHRL3,Whirlpool,3.100,4,40,-0,90%
CGRA3,Grazziotin,3.000,28,70,-0,52%
PTNT4,Pettenati,2.800,6,53,-3,83%
MERC4,Mercantil do Brasil Financeira,2.700,7,98,-9,83%
MGEL4,Mangels,2.600,13,74,+1,03%
MWET4,Wetzel,2.400,9,88,+0,30%
DEXP4,Dexxos,2.300,9,35,-6,59%
GSHP3,General Shopping & Outlets,2.100,14,50,-24,04%
MTSA4,METISA,1.900,40,44,+0,52%
NEXP3,Brasil Brokers,1.900,4,15,+3,23%
AFLT3,Afluente T,1.800,9,70,+8,14%
CPLE5,Copel,1.700,23,43,-2,38%
RDNI3,RNI,1.600,5,24,-1,13%
MNDL3,Mundial,1.500,51,80,-0,59%
FRTA3,Pomi Frutas,1.500,2,35,-1,67%
CEDO3,Cedro Têxtil,1.400,8,14,+1,75%
BAUH4,Excelsior,1.200,76,76,+4,19%
CLSC4,Celesc,1.100,53,48,-0,78%
EQPA3,Equatorial Energia Pará,1.100,6,17,+0,98%
MOAR3,Monteiro Aranha,1.000,386,00,+1,62%
EMAE4,EMAE,1.000,62,95,+1,53%
TRPL3,Transmissão Paulista,1.000,30,07,-0,23%
CEBR5,CEB,1.000,12,65,+0,00%
RPAD6,Alfa Holdings,1.000,6,87,+0,29%
BRIV3,Alfa Investimento,700,10,01,+0,10%
CLSC3,Celesc,600,52,17,+0,00%
CEBR3,CEB,600,12,68,-0,16%
MNPR3,Minupar,600,9,87,-2,85%
NORD3,Nordon,600,7,80,+4,00%
ELET5,Eletrobras,500,70,51,+4,15%
BAZA3,Banco da Amazônia,500,67,71,-1,53%
ESTR4,Estrela,500,58,00,-10,77%
CRPG6,Tronox Pigmentos,500,37,37,+1,00%
BSLI3,Banco de Brasília,500,15,09,+0,60%
ENMT4,Energisa MT,400,71,00,-1,38%
ENMT3,Energisa MT,400,71,00,-0,41%
HBTS5,Habitasul,400,30,00,+0,17%
EPAR3,EPAR3,400,12,56,+2,95%
BSLI4,Banco de Brasília,400,12,16,-0,33%
WLMM4,WLM,300,23,20,-0,13%
IGTI4,Jereissati Participações,300,9,83,+1,34%
IGTI4,Iguatemi,300,9,83,+1,34%
PTNT3,Pettenati,300,8,51,+0,95%
PLAS3,Plascar,300,8,50,-5,45%
FESA3,Ferbasa,200,58,51,-6,08%
CSRN5,COSERN,200,25,79,-0,04%
SLED3,Saraiva,200,7,01,-1,82%
CRIV3,Alfa Financeira,200,5,38,+0,00%
IGBR3,IGB Eletrônica,100,126,00,+2,27%
UNIP5,Unipar,100,80,50,+0,00%
LIPR3,Eletropar,100,72,00,+0,00%
MSPA4,Melhoramentos,100,40,00,+0,00%
PEAB3,Participações Aliança da Bahia,100,30,20,-5,33%
BGIP4,Banese,100,22,85,-1,47%
CSRN6,COSERN,100,21,50,-2,05%
LUXM4,Trevisa,100,20,80,+0,00%
BRKM6,Braskem,100,19,50,+0,00%
EALT3,Electro Aço Altona,100,8,72,+0,00%
BMKS3,Monark,75,330,00,+1,85%
CEEB3,COELBA,1.200,38,12,-4,94%
BRGE6,Consórcio Alfa,1.000,10,45,+1,46%
CBEE3,Ampla Energia,700,16,22,+15,69%
CTKA4,Karsten,600,11,50,+0,00%
BRGE11,Consórcio Alfa,600,9,79,+4,93%
CRDE3,CR2,300,13,70,+5,63%
PATI4,Panatlântica,200,36,56,-1,19%
CALI3,Adolpho Lindenberg,200,11,11,+0,00%
BRIV4,Alfa Investimento,200,10,00,+0,50%
CGAS5,Comgás,100,127,75,+0,59%
TKNO4,Tekno,100,54,00,+0,67%
SOND5,Sondotécnica,100,40,00,+0,00%
EKTR4,Elektro,100,38,00,+0,00%
AHEB3,São Paulo Turismo,100,22,10,+0,00%
BALM4,Baumer,100,9,50,+0,00%
CSAB4,Cia. de Seg. Aliança da Bahia,400,49,00,+17,82%
CSRN3,COSERN,400,21,45,+2,09%
GEPA4,Rio Paranapanema Energia,300,25,00,+0,00%
FRIO3,Metalfrio,200,23,01,+0,00%
EQMA3B,Equatorial Maranhão,200,22,19,+0,41%
BNBR3,Banco do Nordeste,100,78,14,-4,70%
BGIP3,Banese,100,29,24,+1,49%
CRIV4,Alfa Financeira,100,5,47,+0,00%
RPAD5,Alfa Holdings,1.900,6,90,+0,00%
DTCY3,Dtcom,1.000,5,60,+14,29%
BMIN3,Banco Mercantil de Investimentos,800,18,23,-7,88%
BRSR5,Banrisul,200,17,70,+0,63%
BDLL4,Bardella,100,10,00,+0,00%
BMEB3,Banco Mercantil do Brasil,2.600,11,14,-0,45%
JOPA3,Josapar,600,21,71,-0,37%
BMIN4,Banco Mercantil de Investimentos,300,12,69,-1,78%
MRSA6B,MRS Logística,200,22,00,-4,60%
CSAB3,Cia. de Seg. Aliança da Bahia,100,32,00,+0,16%
HETA4,Hercules,2.300,3,70,-2,89%
GEPA3,Rio Paranapanema Energia,100,25,50,+0,20%
CGAS3,Comgás,700,110,01,-0,08%
BRGE7,Consórcio Alfa,400,9,29,+26,22%
USIM6,Usiminas,300,14,80,-3,14%
PEAB4,Participações Aliança da Bahia,200,69,99,+7,68%
AHEB5,São Paulo Turismo,100,18,50,+0,00%
DOHL3,Döhler,100,10,00,+0,00%
JOPA4,Josapar,200,34,21,-2,56%
MWET3,Wetzel,200,13,28,-55,70%
EKTR3,Elektro,100,34,92,-3,19%
BRGE12,Consórcio Alfa,400,9,90,+0,10%
COCE3,Coelce,100,47,00,-2,08%
PATI3,Panatlântica,200,43,79,+4,26%
ODER4,Conservas Oderich,100,100,00,+12,35%
CEEB5,COELBA,100,35,24,+0,09%
BALM3,Baumer,100,11,01,+0,00%
RPAD3,Alfa Holdings,100,7,49,+16,49%
BDLL3,Bardella,200,12,98,+3,84%
EQPA7,Equatorial Energia Pará,300,7,01,-12,38%
BRGE3,Consórcio Alfa,200,9,95,+4,41%
ESTR3,Estrela,100,70,00,+75,00%
AHEB6,São Paulo Turismo,100,21,00,+5,00%
PARD3,Hermes Pardini,1.855.100,18,10,+1,23%
CASN3,CASAN,100,10,43,-18,58%
WLMM3,WLM,500,20,00,-9,09%
MAPT4,Cemepe,200,6,82,-33,20%
CEED3,CEEE D,100,30,90,+0,00%
CEED4,CEEE D,100,30,00,-14,29%
GPAR3,CELGPAR,200,41,92,-8,87%
MTSA3,METISA,200,75,00,+0,00%
BRGE8,Consórcio Alfa,100,9,70,+0,00%
MAPT3,Cemepe,100,30,05,-19,87%
DMFN3,DMFN3,1.800,14,61,+0,00%
SOND6,Sondotécnica,600,32,35,+0,00%
MRSA5B,MRS Logística,100,27,00,+22,39%
WIZS3,WIZS3,779.400,7,16,+1,99%
LLIS3,LLIS3,249.800,1,73,+2,98%
MSPA3,Melhoramentos,400,46,25,-7,52%
BRML3,BRMalls,16.132.900,8,26,+2,35%
DMMO3,Dommo Energia,3.254.800,1,76,-1,12%
EQPA5,Equatorial Energia Pará,100,8,64,+0,93%
GETT3,Getnet,46.500,2,40,+1,27%
GETT4,Getnet,18.500,2,40,+1,27%
SULA4,SulAmérica,18.600,7,63,+5,53%
SULA3,SulAmérica,4.000,7,43,+1,50%
CTKA3,Karsten,200,21,46,-1,20%
BRGE5,Consórcio Alfa,800,11,53,+15,30%
CRPG3,Tronox Pigmentos,100,55,00,+27,91%
MRSA3B,MRS Logística,100,26,00,+4,00%
CEPE5,CELPE,100,40,12,+0,02%
MERC3,Mercantil do Brasil Financeira,100,15,11,-5,56%
TCNO4,Tecnosolo,36.800,0,85,-9,57%
TCNO3,Tecnosolo,3.400,1,20,-1,64%
CEPE6,CELPE,100,43,00,+6,17%
BKBR3,BKBR3,782.300,7,63,+0,26%
MTIG4,Metalgráfica Iguaçu,100,23,00,+0,00%
BLUT4,Blue Tech Solutions,171.100,1,52,-5,59%
BLUT3,Blue Tech Solutions,13.400,5,14,+0,59%
MODL4,Banco Modal,700,2,72,-2,16%
CARD3,CARD3,118.000,14,51,+1,82%
SHUL3,Schulz,100,27,94,-50,12%
FIGE3,Investimentos Bemge,100,12,03,+99,83%
FNCN3,Finansinos,4.800,14,25,-0,35%
TEKA3,Teka,100,8,23,+1,73%
HETA3,Hercules,200,96,00,+0,00%
LCAM3,Locamerica,26.118.900,24,15,+1,86%
BIDI4,Banco Inter,52.479.800,3,41,-2,01%
BIDI3,Banco Inter,15.262.400,3,40,-2,58%
EEEL4,CEEE GT,100,410,00,-4,27%
EEEL3,CEEE GT,400,421,01,+5,25%
BBRK3,BBRK3,1.279.600,0,80,+1,27%
SOND3,Sondotécnica,200,46,01,+14,45%
CEGR3,Naturgy (CEG),100,89,00,+11,40%
CESP6,CESP,9.306.600,25,25,+1,41%
CESP3,CESP,11.500,25,55,+1,71%
CESP5,CESP,300,25,00,+2,75%
ECPR4,Encorpar,100,90,74,+0,42%
MOSI3,Mosaico,1.021.200,8,24,+3,00%
POWE3,Focus Energia,678.000,10,90,-2,24%
EQPA6,Equatorial Energia Pará,600,10,69,+0,09%
ECPR3,Encorpar,300,90,25,+12,97%
GNDI3,NotreDame Intermédica,33.458.600,65,34,+0,00%
LAME4,Lojas Americanas,43.631.000,6,55,+2,02%
LAME3,Lojas Americanas,10.941.100,6,62,+2,95%
OMGE3,Omega Geração,834.900,27,57,-0,86%
IGTA3,IGTA3,1.641.100,33,13,+0,18%
JPSA3,JPSA3,100.100,29,02,+1,75%
BRDT3,BRDT3,24.483.500,22,03,-5,17%
JBDU4,JBDU4,2.556.100,1,36,+3,82%
JBDU3,JBDU3,1.890.100,3,12,+9,09%
HGTX3,Hering,7.519.800,37,50,-2,65%
CCPR3,CCPR3,328.200,10,16,-4,51%
DTEX3,DTEX3,2.875.600,20,63,-3,10%
VVAR3,VVAR3,65.670.600,11,30,-6,38%
PNVL4,Dimed,2.000,18,62,-2,67%
TESA3,Terra Santa,41.100,48,00,-2,74%
BTOW3,BTOW3,11.169.600,68,00,+4,15%
LINX3,Linx,8.510.000,37,40,-0,27%
BTTL3,Embpar,6.100,19,72,-2,33%
GPCP3,GPCP3,698.100,49,00,-3,92%
GPCP4,GPCP4,5.300,45,51,-1,30%
SMLS3,Smiles,1.944.100,22,40,-1,71%
MMXM3,MMX Mineração,1.240.300,14,00,-30,35%
BSEV3,Biosev,528.800,9,00,+8,43%
CNTO3,CNTO3,2.083.600,28,08,+4,78%
TIET4,AES Tietê Energia,323.700,3,51,+1,15%
TIET3,AES Tietê Energia,169.100,3,49,+0,87%
CORR4,Corrêa Ribeiro,100,82,00,+18,84%
CEPE3,CELPE,1.300,128,00,+85,32%
CALI4,Adolpho Lindenberg,100,50,00,+4,17%
SNSY6,Sansuy,100,11,51,+4,64%
CASN4,CASAN,100,10,00,-16,67%
EMAE3,EMAE,100,26,01,+33,25%
BPAR3,Banpará,100,182,07,+20,58%
APTI4,Aliperti,200,3.500,00,-61,96%
VSPT3,FCA,1.000.000,4.999.999,50,+114,29%
MTIG3,Metalgráfica Iguaçu,400,156,30,+29,60%
FIGE4,Investimentos Bemge,100,38,01,-4,97%
LUXM3,Trevisa,200,10,00,+7,99%
TKNO3,Tekno,100,85,79,+10,64%
COCE6,Coelce,100,35,00,+16,63%
MGEL3,Mangels,100,75,00,+8,70%
CTSA8,Santanense,2.000,1,00,+0,00%
MMAQ4,Minasmáquinas,14,200,06,-28,55%
